=== HIGH SCORE REVIEWS (0.70 - 0.79) ===
                              normalized_query                                           db_normalized  match_score  jaccard_score  sequence_score                        matched_tokens
919                 motinorm suspension 125 ml               motinorm oral 5 mg suspension 5 ml 125 ml        0.742         0.6306          0.7761         motinorm, suspension, 125, ml
778                    marvigoline .5 mg 2 tab                                marvigoline 0.5 mg 2 tab        0.741         0.9556          0.9787           marvigoline, .5, mg, 2, tab
344                      glucophage xr 1000 mg          glucophage xr 30 prolonged release 1000 mg tab        0.741         0.6931          0.6269              glucophage, xr, 1000, mg
224                    fluver suspension 30 ml                    fluver suspensions 100 mg 5 ml 30 ml        0.740         0.6273          0.7797            fluver, suspension, 30, ml
930                          muco syrup 100 ml                            muco 15 mg syrup 5 ml 100 ml        0.739         0.6364          0.7556                  muco, syrup, 100, ml
595                  ketofan suspension 120 ml                ketofan oral 5 mg suspension 5 ml 120 ml        0.739         0.6306          0.7692          ketofan, suspension, 120, ml
44                          epifenac 75 mg tab  epifenac sr 10 sustained release film coated 75 mg tab        0.738         0.7447          0.5000                 epifenac, 75, mg, tab
976                              nataria cream                                nataria 50 gm plus cream        0.737         0.6557          0.7027                        nataria, cream
198                  flix metered 16 gm 50 mcg                           flix nasal 50 mcg 16 gm spray        0.736         0.7500          0.4815                 flix, 16, gm, 50, mcg
444                   hero beby nutradefense 3                     hero nutrasense stage 3 400 gm baby        0.735         0.7218          0.5424           hero, beby, nutradefense, 3
108                 extrauma forte 25 gm cream                         extrauma dna 280 iu 25 gm cream        0.733         0.6364          0.7368               extrauma, 25, gm, cream
143                   fastel suspension 110 ml                fastel oral 30 mg suspension 5 ml 110 ml        0.733         0.6306          0.7500           fastel, suspension, 110, ml
1069            nostamine eye nose drops 15 ml                                nostamine eye nose drops        0.733         0.6667          0.8889           nostamine, eye, nose, drops
39                   epidron 4 mg 1 injectable                         epidron 4 mg ml injectable 2 ml        0.732         0.5833          0.8571            epidron, 4, mg, injectable
804                        megavit zinc 20 cap                                          megonat 20 cap        0.732         0.7347          0.7273                      megavit, 20, cap
20                                enrich drops                                 enrich oral drops 30 ml        0.731         0.6557          0.6857                         enrich, drops
94               evastine oral solution 100 ml                                   evastine syrup 100 ml        0.728         0.7317          0.7200                     evastine, 100, ml
314                              gatistar 5 ml                             gatistar 0.5 eye drops 5 ml        0.728         0.6667          0.6500                       gatistar, 5, ml
331               glaptiva 50 1000 plus 14 tab            glaptivia 50 30 film coated 1000 mg plus tab        0.727         0.6471          0.6944         glaptiva, 50, 1000, plus, tab
944                         medrapid 0.5 drops                            mydrapid 0.5 eye drops 10 ml        0.725         0.6250          0.7391                  medrapid, 0.5, drops
228                         foldex cream 50 ml                                      foldex 50 gm cream        0.725         0.7500          0.6667                     foldex, cream, 50
382                gyno trosyd 2 vaginal cream                           gynozol 2 vaginal 40 gm cream        0.724         0.6182          0.7500               gyno, 2, vaginal, cream
118                          ezapril co 20 tab                         ezapril co 20 mg 12.5 mg 30 tab        0.724         0.6364          0.7083                  ezapril, co, 20, tab
917                     mosedin sr plus 10 cap                                  mosedin sr plus 30 cap        0.723         0.6341          0.9545                mosedin, sr, plus, cap
50               epimag effervescent 12 sachet                 epimag × 5000 mg sachet 12 effervescent        0.723         0.7000          0.5588      epimag, effervescent, 12, sachet
984                    nebilet 5 plus 2514 tab              nebilet 14 film coated 5 mg 25 mg plus tab        0.723         0.7018          0.5538           nebilet, 5, plus, 2514, tab
943                mycostatin suspension 30 ml                 orastatin 100,000 u ml suspension 30 ml        0.718         0.6211          0.7273        mycostatin, suspension, 30, ml
201                     flixotide 125 evohaler                    flixotide evohaler 60 metered 125 mg        0.718         0.6667          0.6207              flixotide, 125, evohaler
795                        mega mineral 20 cap                                          megonat 20 cap        0.718         0.7403          0.6667                         mega, 20, cap
162                       ferosac 5 injectable                        ferosac 100 mg 5 ml 5 injectable        0.716         0.6000          0.7692                ferosac, 5, injectable
782                        matrix ca 20 pieces                                 matrix chelation 20 cap        0.716         0.7375          0.6667                        matrix, ca, 20
534                  isotretinoin 20 mg 10 cap                  isotretinoin gelatin 20 mg cap 30 soft        0.716         0.6306          0.6984             isotretinoin, 20, mg, cap
109        extreme calcium 20 pieces chocolate                                extreme 20 pieces fridge        0.712         0.7407          0.6441                   extreme, 20, pieces
110        extreme calcium 20 pieces chocolate                                extreme 20 pieces fridge        0.712         0.7407          0.6441                   extreme, 20, pieces
440               hero mixed fruits juice baby                       hero mixed fruits 190 gm baby jar        0.711         0.6000          0.7541             hero, mixed, fruits, baby
873                minophylline n 5 injectable               minophylline n 25 mg ml 5 injectable 5 ml        0.711         0.5833          0.7941        minophylline, n, 5, injectable
304                gast reg 50 mg 3 injectable      gast reg iv im fridge 50 mg 5 ml 3 injectable 5 ml        0.710         0.6211          0.7013      gast, reg, 50, mg, 3, injectable
675                      levepex 500 mg 30 tab                                          levepex 500 mg        0.707         0.6667          0.8000                      levepex, 500, mg
195    flector sachet 50 effervescent 9 sachet                                  flector 50 mg 9 sachet        0.706         0.7273          0.6557                flector, sachet, 50, 9
441             hero nutra defense baby 1 plus         hero nutradefense stage 1 milk 400 gm baby plus        0.704         0.6139          0.7013          hero, defense, baby, 1, plus
839                 methotrexate 10 vail 50 mg                 methotrexate 5000 mg 50 ml 1 injectable        0.704         0.6500          0.6154              methotrexate, 10, 50, mg
1065      normo tears sterile ophthalmic 15 ml                              normo tears solution 15 ml        0.703         0.7000          0.7097                  normo, tears, 15, ml
779            marvit with antioxidants 14 cap                                           marvit 14 cap        0.702         0.7500          0.5909                       marvit, 14, cap
368                           coffee 120 green                               isis coffee 20 bags green        0.702         0.7000          0.7317                    coffee, 120, green

=== MID SCORE REVIEWS (0.50 - 0.69) ===
                                           normalized_query                                                                db_normalized  match_score  jaccard_score  sequence_score                               matched_tokens
881                                   mixtard 100 i.u 10 ml                         insulin mixtard 30 hm fridge 100 iu injectable 10 ml        0.698         0.6718          0.5479                    mixtard, 100, i.u, 10, ml
603                                  kidmin solution 250 ml                                                   kidmin i.v infusion 250 ml        0.692         0.6667          0.7500                              kidmin, 250, ml
197                                         flexofan 20 cap                                                 flexofan 250 mg 50 mg 20 cap        0.692         0.6000          0.6977                            flexofan, 20, cap
218                              flumox 250 mg syrup 100 ml                         flumox for oral 250 mg powder suspension 5 ml 100 ml        0.691         0.6338          0.6154                     flumox, 250, mg, 100, ml
991                                neostigmine 5 injectable                                           epistigmin 0.25 mg injectable 5 ml        0.691         0.5873          0.7241                   neostigmine, 5, injectable
1016  neutrogena visibly clear blackhead eliminating 150 ml                         neutrogena blackhead eliminating facial scrub 150 ml        0.690         0.6667          0.7429  neutrogena, blackhead, eliminating, 150, ml
121                                     ezogast 20 mg 7 cap                                         ezogast 14 delayed release 20 mg cap        0.690         0.6306          0.6182                         ezogast, 20, mg, cap
122                                     ezogast 40 mg 7 cap                                         ezogast 14 delayed release 40 mg cap        0.690         0.6306          0.6182                         ezogast, 40, mg, cap
742                    lornoxicam for im iv 8 mg injectable                                                 lornoxicam 8 mg 1 injectable        0.689         0.6364          0.8125                lornoxicam, 8, mg, injectable
277                                    gabalepsy 300 10 cap                                                      gabalepsy 300 mg 30 cap        0.685         0.6000          0.8837                          gabalepsy, 300, cap
574                            kefadim 1000 mg 1 injectable                                kefadim i.v i.m 1000 mg injectable injectable        0.684         0.5833          0.7123                kefadim, 1000, mg, injectable
958                             nan 3 milk with 400 gm iron                                       nan optipro stage milk 400 gm 3 powder        0.683         0.7377          0.5538                        nan, 3, milk, 400, gm
840                                 methotrexate 50 mg 2 ml                                      methotrexate 5000 mg 50 ml 1 injectable        0.683         0.5833          0.7097                     methotrexate, 50, mg, ml
238                             fortum 1000 mg 1 injectable                                 fortum i.v i.m 1000 mg injectable injectable        0.682         0.5833          0.7042                 fortum, 1000, mg, injectable
575                             kefadim 500 mg 1 injectable                                 kefadim i.v i.m 500 mg injectable injectable        0.682         0.5833          0.7042                 kefadim, 500, mg, injectable
609                                klacid 250 mg 5 ml 70 ml                          klacid for oral 125 mg sachet suspension 5 ml 70 ml        0.681         0.6211          0.6133                    klacid, mg, 5, ml, 70, ml
1063                                   norgesic 3 mg 20 tab                                                    norgesic 35 450 mg 20 tab        0.680         0.8800          0.8889                     norgesic, 3, mg, 20, tab
248                              foxime 500 mg 1 injectable                                  foxime i.m i.v 500 mg injectable injectable        0.679         0.5833          0.6957                  foxime, 500, mg, injectable
239                              fortum 500 mg 1 injectable                                  fortum i.v i.m 500 mg injectable injectable        0.679         0.5833          0.6957                  fortum, 500, mg, injectable
13                             e moxclave 457 mg suspension                       e moxclav for oral 457 mg powder suspension 5 ml 70 ml        0.678         0.5985          0.6585             e, moxclave, 457, mg, suspension
982                                       navoproxin 20 tab                                           navoproxin 25 mg 50 mg plus 20 tab        0.677         0.5941          0.6667                          navoproxin, 20, tab
602                                     kevork 500 mg 5 tab                                     kevork 10 coated organopharma 500 mg tab        0.676         0.6306          0.5763                         kevork, 500, mg, tab
1025                      newclav 642.9 mg suspension 50 ml       new clav extra strength for oral 642.9 mg powder suspension 5 ml 50 ml        0.674         0.6001          0.6408       newclav, 642.9, mg, suspension, 50, ml
1064                                        normaten 30 tab                                             normaten 50 30 scored 2.5 mg tab        0.673         0.6000          0.6383                            normaten, 30, tab
725                              livabion 6 injectable 2 ml                                                     livabion im 6 injectable        0.672         0.6000          0.8400                      livabion, 6, injectable
389                                  gynozol 6 v 200 mg cap                                              gynozol 6 vaginal ovules 200 mg        0.670         0.6667          0.6792                          gynozol, 6, 200, mg
390                                  gynozol 3 v 400 mg cap                                              gynozol 3 vaginal ovules 400 mg        0.670         0.6667          0.6792                          gynozol, 3, 400, mg
740                                            loraz 14 tab                                                   loraz 50 mg 12.5 mg 14 tab        0.670         0.6000          0.6316                               loraz, 14, tab
698                                         ligocaine spray                                                    lignocaine 10 spray 15 ml        0.670         0.5489          0.7500                             ligocaine, spray
673                                  levemir flexpen 5 pens                                  levemir flexpen 100 u 5 pens fridge ml 3 ml        0.669         0.5785          0.6769                    levemir, flexpen, 5, pens
190                         flash act effervescent 5 sachet                                                     flash act 50 mg 9 sachet        0.666         0.6800          0.6545                        flash, act, 5, sachet
360                      cleansr vaganial douch gold 250 ml                                                    gold plus cleanser 250 ml        0.665         0.7473          0.4746                       cleansr, gold, 250, ml
439                                     hero whear oat baby                                         hero wheat oat with milk 300 gm baby        0.663         0.5800          0.6545                       hero, whear, oat, baby
934                                 mucosol ad syrup 120 ml                                       mucosol adult 250 mg syrup 5 ml 120 ml        0.663         0.5385          0.7541                      mucosol, syrup, 120, ml
734                         lolawest iv infusion 5 mg 10 ml                                            lolawest i.v × 5 injectable 10 ml        0.661         0.6769          0.6250                      lolawest, iv, 5, 10, ml
79                                   ethyl 70 alcohol spray                              ethyl 70 al abdellatif lab alcohol spray 100 ml        0.660         0.5833          0.6377                    ethyl, 70, alcohol, spray
656                                    carnitine l plus cap                                                      carnitine l plus 20 tab        0.659         0.5833          0.8372                           carnitine, l, plus
607                               klacid 125 mg syrup 70 ml                          klacid for oral 125 mg sachet suspension 5 ml 70 ml        0.659         0.5960          0.6053                      klacid, 125, mg, 70, ml
470                                   hydrafeet cream 60 ml                                                   hydrafeet foot 60 gm cream        0.658         0.6667          0.6383                         hydrafeet, cream, 60
352                          glycerin bicarbonate ear drops                       glycerin bicarbonate al abdellatif lab ear drops 15 ml        0.656         0.5455          0.7143            glycerin, bicarbonate, ear, drops
1033                   nicorette sugar 105 pieces 4 mg free                                                 nicorette 30 pieces 4 mg gum        0.655         0.6140          0.7500                     nicorette, pieces, 4, mg
21                                              enrich syrp                                                        enrich n syrup 100 ml        0.655         0.5556          0.6875                                 enrich, syrp
776                              marimer nasal spray 100 ml                                                    marimer hypertonic 100 ml        0.655         0.6667          0.6275                             marimer, 100, ml
455                          high seas cod liver oil 120 ml                                                       high seas syrup 120 ml        0.653         0.6364          0.6923                          high, seas, 120, ml
203                             flixotide evohaler 50 micro                                            flixotide evohaler 120 dose 50 mg        0.650         0.6000          0.7667                      flixotide, evohaler, 50
598                              ketolac 30 mg 5 injectable                        ketolac i.m or i.v infusion × 30 mg 5 injectable 2 ml        0.650         0.5625          0.6582               ketolac, 30, mg, 5, injectable
561                                    k 1 apex 1 mg 30 tab                                               k 1 apex 30 chewable 10 mg tab        0.646         0.9077          0.6800                   k, 1, apex, 1, mg, 30, tab
920                                motival 10 mg tab 20 tab                                                               motival 20 tab        0.641         0.6000          0.7368                             motival, tab, 20
614                                           kly jel 42 gm                                                    kly lubricating 42 gm gel        0.640         0.6667          0.5789                                  kly, 42, gm
862                                 midodrine 1 drops 10 ml                                                        midodrine 10 mg drops        0.638         0.5800          0.7727                          midodrine, 1, drops
202                  flixotide diskus 100 micro 60 blisters                                          flixotide diskus 60 blisters 250 mg        0.638         0.5833          0.7671              flixotide, diskus, 60, blisters
40                                    epifasi ampol 5000 iu                                          epifasi fridge 5000 iu 1 injectable        0.633         0.6593          0.5714                            epifasi, 5000, iu
947                               myfortic 120,s 360 gm cap                                                      myfortic 360 mg 120 tab        0.633         0.6182          0.6667                         myfortic, 120,s, 360
392                                        haema cap 14 cap                                                             haema cap 28 cap        0.630         0.6250          0.8750                              haema, cap, cap
516                     insulin novorapid flexpen 100 ug ml                              insulin novorapid flexpens 5 pens fridge 100 iu        0.626         0.5702          0.7561             insulin, novorapid, flexpen, 100
523                    ipanten 30 mg suspension 5 ml 125 ml                                                    ipanten suspension 125 ml        0.623         0.5385          0.8197                 ipanten, suspension, ml, 125
1078                                     novomix flexpen 30                                     novomix flexpen 70 30 5 pens fridge 3 ml        0.621         0.5405          0.6207                         novomix, flexpen, 30
979                                   nausilex 3 injectable                                       nausilex im iv 50 mg 2 ml 3 injectable        0.620         0.5000          0.7119                      nausilex, 3, injectable
421                                        heli cure 14 tab                                         heli cure 20 mg 500 mg 500 mg 14 tab        0.618         0.5385          0.6154                          heli, cure, 14, tab
199                        flixonase 120 dose aqueous nasal                                                flixonase 0.05 120 dose spray        0.617         0.6000          0.6557                         flixonase, 120, dose
1023                             newclav 457 mg syrup 80 ml                        new clav for oral 457 mg powder suspension 5 ml 80 ml        0.615         0.5383          0.6076                     newclav, 457, mg, 80, ml
836                                       methorelax 20 tab                                                            methorelax 30 tab        0.614         0.5714          0.9412                              methorelax, tab
370                          gripe water bambino baby syrup                                                   gripe water bambino 120 ml        0.614         0.5556          0.7500                        gripe, water, bambino
171                                        ferrotron 20 cap                                                             ferrotron 30 cap        0.613         0.5714          0.9375                               ferrotron, cap
623                                         lactomax 30 cap                                                              lactomax 20 cap        0.612         0.5714          0.9333                                lactomax, cap
328                                         ginkofit 10 cap                                                              ginkofit 30 cap        0.612         0.5714          0.9333                                ginkofit, cap
433                                          herbana 20 cap                                                               herbana 30 cap        0.611         0.5714          0.9286                                 herbana, cap
749                                         lubrivisc drops                                                lubrivisc 0.1 eye drops 10 ml        0.610         0.5000          0.6818                             lubrivisc, drops
874                              minoxidil fort 50 gm 5 gel                                                   minoxidil fort 60 gm 5 gel        0.604         0.7091          0.9615                 minoxidil, fort, 50, gm, gel
375                 growth formula fo kids 250 gm chocolate                      growth formula for pregnant woman flavor 250 gm vanilla        0.601         0.6031          0.5957                 growth, formula, fo, 250, gm
1008                               neurorubine 6 injectable              neurorubine intramuscular fridge l injectable 6 injectable 1 ml        0.598         0.5405          0.5517                   neurorubine, 6, injectable
468                humulin 70 30 100 i.u penfil 3 ml.5 cart                                    humaxin mix 70 30 × 5 penfill 300 iu 3 ml        0.593         0.5821          0.6173        humulin, 70, 30, i.u, penfil, 3, ml.5
467                         humalog mix 50 100 u kwikpen ml                                           humalog 5 penfill fridge 100 iu ml        0.592         0.5954          0.5846                         humalog, 50, 100, ml
464                   humalog mix 70 30 5 cartridges 100 iu                                    humalog mix 75 25 5 penfill fridge 100 iu        0.591         0.5263          0.7436                     humalog, mix, 5, 100, iu
1027                                  neximash 40 mg 14 cap                           neximash 28 delayed release gelatin 40 mg hard cap        0.588         0.5344          0.5352                        neximash, 40, mg, cap
200            flixotid evohaler 125 micro 60 dose aerosole                                         flixotide evohaler 60 metered 125 mg        0.587         0.5923          0.5750                  flixotid, evohaler, 125, 60
793                                   medexaflam injectable                                         medexaflam 15 mg 1.5 ml 3 injectable        0.585         0.4444          0.7368                       medexaflam, injectable
512                                   injectmol vail 100 ml                                       injectmol iv 1000 mg injectable 100 ml        0.585         0.5455          0.6780                           injectmol, 100, ml
222                            fluroquinomox eye drops 5 ml                                   fluroquinomox 0.5 ophthalmic solution 5 ml        0.579         0.5455          0.6571                         fluroquinomox, 5, ml
194                                         flector patches                                         flector ep tissugel 5 dermal patches        0.579         0.5000          0.5882                             flector, patches
396                                 haemopower 5 injectable                                           ampofer × 100 mg 5 ml 5 injectable        0.578         0.4652          0.6667                    haemopower, 5, injectable
882             mixtard 30 penfill 100 iu 3 ml 5 injectable                         insulin mixtard 30 hm fridge 100 iu injectable 10 ml        0.576         0.5525          0.6316         mixtard, 30, 100, iu, ml, injectable
990                                  neomycin 250 mg 20 tab                                                       neomycin 500 mg 20 tab        0.576         0.6600          0.9545                       neomycin, 250, mg, tab
801                              megamox 228 mg syrup 70 ml  megamox for oral after reconstitution 228.5 mg powder suspension 5 ml 70 ml        0.575         0.5432          0.4752                     megamox, 228, mg, 70, ml
818                                mepa furan 100 mg 20 cap                                                    arpimune 100 mg me 50 cap        0.575         0.5583          0.6122                           mepa, 100, mg, cap
443                                hero milk baby rice free                                             hero zucchini soup baby rice jar        0.573         0.5435          0.6429                             hero, baby, rice
474                 hydrocortisone eye pos 1.0 w w ointment                                              hydrocortisone 1 20 gm ointment        0.570         0.4833          0.7714                hydrocortisone, 1.0, ointment
703                                 liometacen 6 injectable               liometacen 6 lyophilized 6 solvent 50 mg injectable injectable        0.564         0.5000          0.5412                    liometacen, 6, injectable
954                                   nactalia 2 tahya misr                                                      nactalia stage 2 400 gm        0.562         0.5495          0.5909                                  nactalia, 2
93                                   evaculax 625 mg 20 cap                                                              evaculax 20 tab        0.561         0.5000          0.7027                                 evaculax, 20
465                       humalog 100 u 5 cartidges ml 3 ml                          humalog kwikpen 5 prefilled pens fridge 100 iu 3 ml        0.561         0.6173          0.4286                       humalog, 100, 5, ml, 3
362                        gonapure 150 i.u injectable 1 ml                                    gonapure im sc fridge 150 iu 1 injectable        0.557         0.7273          0.7123            gonapure, 150, i.u, injectable, 1
272                                     n cram 20 mg gm tab                                                             flurest n 20 tab        0.557         0.6000          0.4571                                   n, 20, tab
363                         gonapure 75 i.u injectable 1 ml                                     gonapure im sc fridge 75 iu 1 injectable        0.555         0.7273          0.7042             gonapure, 75, i.u, injectable, 1
149                                    fawar fruit 6 sachet                                                fawar 6 packets 5000 mg fruit        0.555         0.6000          0.4490                              fawar, fruit, 6
651                                      laxeol pi 25 strip                                                       laxeol pi 5 mg 250 tab        0.554         0.5800          0.7000                               laxeol, pi, 25
418                                 hebitaxime vail 1000 mg                             hebitaxime i.m i.v 1000 mg injectable injectable        0.551         0.5455          0.5634                         hebitaxime, 1000, mg
757                           maalox plus suspension 355 ml                                                maalox plus suspension 180 ml        0.549         0.6341          0.8966                 maalox, plus, suspension, ml
978                                  natrilix 2.5 mg 30 tab                                                    natrilix sr 1.5 mg 30 tab        0.549         0.6364          0.8936                        natrilix, mg, 30, tab
302                                   gast reg syrup 125 ml                        gast reg for oral 24 mg powder suspension 5 ml 125 ml        0.549         0.4930          0.5135                           gast, reg, 125, ml
315                           gaviscon advance syrup 150 ml                         gaviscon oral double action liquid suspension 150 ml        0.542         0.5310          0.5679                            gaviscon, 150, ml
1050                                    no gravida vag supp                                     no gravida 12 vaginal fridge 100 mg supp        0.540         0.4950          0.6441                            no, gravida, supp
640                       lantus solostar 1 pen 100 iu 3 ml                          lantus solostar 100 unit 5 prefilled pens fridge ml        0.540         0.5066          0.6190                 lantus, solostar, 1, pen, ml
859                                  mictonorm 15 mg 28 tab                                                    mictonorm xl 30 mg 28 tab        0.540         0.6364          0.8511                       mictonorm, mg, 28, tab
560                                 k y sterile 82 gm jelly                                                    kly lubricating 82 gm gel        0.538         0.5182          0.5833                                    k, 82, gm
739                                      loral 30 mg 10 cap                                                           soral 20 mg 30 cap        0.537         0.6400          0.8333                           loral, 30, mg, cap
