Row #,Original Name,Normalized Name,Status,Score,Matched Name,Matched SKU,All Candidates (JSON)
37,AERIUS 5MG 20TAB,aerius 5 mg 20 tab,review,76.00%,Aerius 5 mg 20 Film Coated Tablets,127697,"[{""name"":""Aerius 5 mg 20 Film Coated Tablets"",""score"":""76.00%"",""sku"":""127697""}]"
38,AEROCHAMBER مصري,aerochamber مصري,no_match,45.30%,Granzia Vento-2 Aerochamber,84062,"[{""name"":""Granzia Vento-2 Aerochamber"",""score"":""45.30%"",""sku"":""84062""}]"
39,AFROMED 30 CAP,afromed 30 cap,matched,100.00%,Afromed 30 Capsules,140131,"[{""name"":""Afromed 30 Capsules"",""score"":""100.00%"",""sku"":""140131""}]"
40,AGERA ACNE CREAM 50G,agera acne 50000 mg cream,no_match,43.20%,Agera Cream 50 gm,82549,"[{""name"":""Agera Cream 50 gm"",""score"":""43.20%"",""sku"":""82549""}]"
41,AGGREX 75MG 60TAB,aggrex 75 mg 60 tab,matched,100.00%,Aggrex 75 mg 60 Tablets,127936,"[{""name"":""Aggrex 75 mg 60 Tablets"",""score"":""100.00%"",""sku"":""127936""}]"
42,AGIOLAX GRAN. 5GM 12SAC.,agiolax gran. 12 sac. 5000 mg,review,74.90%,Agiolax 12 Sachets 5 gm,134471,"[{""name"":""Agiolax 12 Sachets 5 gm"",""score"":""74.90%"",""sku"":""134471""}]"
43,AIG RELAX MASSAGE GEL 50G,aig relax 50000 mg massage gel,no_match,41.50%,A - Viton 50 mg-50000 I.U 20 Capsules,117105,"[{""name"":""A - Viton 50 mg-50000 I.U 20 Capsules"",""score"":""41.50%"",""sku"":""117105""}]"
44,AIRONYL 120CC SYP.,aironyl syp. 120 cc,no_match,48.40%,Alvital Iron Syrup 120 ml,35746,"[{""name"":""Alvital Iron Syrup 120 ml"",""score"":""48.40%"",""sku"":""35746""}]"
45,AIRONYL 20TAB.,aironyl 20 tab.,review,75.00%,Aironyl 2.5 mg 20 Tablets,132857,"[{""name"":""Aironyl 2.5 mg 20 Tablets"",""score"":""75.00%"",""sku"":""132857""}]"
46,ALBENDAZOLE 30ML SUSP,albendazole suspension 30 ml,review,69.30%,Albendazole 200 mg/5 ml Suspension 30 ml,114198,"[{""name"":""Albendazole 200 mg/5 ml Suspension 30 ml"",""score"":""69.30%"",""sku"":""114198""}]"
47,ALBENDAZOLE 400MG 6 TAB,albendazole 400 mg 6 tab,matched,100.00%,Albendazole 400 mg 6 Tablets,126022,"[{""name"":""Albendazole 400 mg 6 Tablets"",""score"":""100.00%"",""sku"":""126022""}]"
48,ALBOTHYL 8 VAGINAL SUP,albothyl 8 vaginal sup,review,64.00%,Albothyl 90 mg 8 Vaginal Suppositories,125815,"[{""name"":""Albothyl 90 mg 8 Vaginal Suppositories"",""score"":""64.00%"",""sku"":""125815""}]"
49,ALBURHAN NATURAL OIL اصفر,alburhan اصفر natural oil,no_match,27.20%,Penduline Natural Hair Oil Mix 120 ml,106353,"[{""name"":""Penduline Natural Hair Oil Mix 120 ml"",""score"":""27.20%"",""sku"":""106353""}]"
50,ALCOHOL 75ML,alcohol 75 ml,review,56.00%,Ingram Cool Shaving Gel 75 ml,6296,"[{""name"":""Ingram Cool Shaving Gel 75 ml"",""score"":""56.00%"",""sku"":""6296""}]"
51,ALEGO شفاط مخاط,alego شفاط مخاط,no_match,34.60%,Amego Shaving Brush,104495,"[{""name"":""Amego Shaving Brush"",""score"":""34.60%"",""sku"":""104495""}]"
52,ALERGOLIBER 120ML ORAL SOL,alergoliber oral solution 120 ml,review,69.20%,Alergoliber Syrup 120 ml,132236,"[{""name"":""Alergoliber Syrup 120 ml"",""score"":""69.20%"",""sku"":""132236""}]"
53,ALERTAM 180MG 10TAB,alertam 180 mg 10 tab,review,77.30%,Alertam 180 mg 10 Film Coated Tablets,130007,"[{""name"":""Alertam 180 mg 10 Film Coated Tablets"",""score"":""77.30%"",""sku"":""130007""}]"
54,ALGESAL SURACTIVE 40G CR.,algesal suractive cr. 40000 mg,no_match,31.40%,Carbapex C.R. 400 mg 30 Tablets,130460,"[{""name"":""Carbapex C.R. 400 mg 30 Tablets"",""score"":""31.40%"",""sku"":""130460""}]"
55,ALGO GLASS 120 WITH HAND,algo 120 with hand glass,no_match,32.20%,Aishu Hair Comb (2X1) With Hand,139067,"[{""name"":""Aishu Hair Comb (2X1) With Hand"",""score"":""32.20%"",""sku"":""139067""}]"
56,ALICE BREEZE,alice breeze,no_match,47.40%,Alice Hair Care Set,139856,"[{""name"":""Alice Hair Care Set"",""score"":""47.40%"",""sku"":""139856""}]"
57,ALICE طقم فرش مكياج 7 قطع,alice طقم فرش مكياج 7 قطع,no_match,38.90%,Alice Young Style Eyelash (AS-7),113542,"[{""name"":""Alice Young Style Eyelash (AS-7)"",""score"":""38.90%"",""sku"":""113542""}]"
58,ALKA-MISR 12SACH.,alka misr 12 sach.,review,79.30%,Alka Misr 12 Sachets,130976,"[{""name"":""Alka Misr 12 Sachets"",""score"":""79.30%"",""sku"":""130976""}]"
59,ALKAPRESS PLUS 5/160MG 14TAB,alkapress 5 160 mg plus 14 tab,review,77.60%,Alkapress Plus 5 mg/160 mg 14 Film Coated Tablets,132080,"[{""name"":""Alkapress Plus 5 mg/160 mg 14 Film Coated Tablets"",""score"":""77.60%"",""sku"":""132080""}]"
60,ALLEAR 5MG 20TAB,allear 5 mg 20 tab,matched,100.00%,Allear 5 mg 20 Tablets,129832,"[{""name"":""Allear 5 mg 20 Tablets"",""score"":""100.00%"",""sku"":""129832""}]"
61,ALLERBAN S.R 2MG 20TAB,allerban s.r 2 mg 20 tab,matched,91.70%,Allerban S R 2 mg 20 Tablets,128635,"[{""name"":""Allerban S R 2 mg 20 Tablets"",""score"":""91.70%"",""sku"":""128635""}]"
62,ALLERBAN SYP 100ML,allerban syrup 100 ml,matched,100.00%,Allerban Syrup 100 ml,128663,"[{""name"":""Allerban Syrup 100 ml"",""score"":""100.00%"",""sku"":""128663""}]"
63,ALLERGEX 20GM CREAM,allergex 20000 mg cream,no_match,49.00%,Allergex Cream 20 gm,127684,"[{""name"":""Allergex Cream 20 gm"",""score"":""49.00%"",""sku"":""127684""}]"
64,ALLERGYL 120CC SYP.,allergyl syp. 120 cc,review,63.80%,Allergyl Syrup 120 ml,128898,"[{""name"":""Allergyl Syrup 120 ml"",""score"":""63.80%"",""sku"":""128898""}]"
65,ALL-VENT 125ML SYP,all vent syrup 125 ml,matched,100.00%,All-Vent Syrup 125 ml,125097,"[{""name"":""All-Vent Syrup 125 ml"",""score"":""100.00%"",""sku"":""125097""}]"
66,ALOE EVA CREAM 185G بلصبار وزيت الزيتون,aloe eva بلصبار وزيت الزيتون 185000 mg cream,no_match,31.30%,Aloe Eva Hair cream with Aloe Vera 185 gm,45142,"[{""name"":""Aloe Eva Hair cream with Aloe Vera 185 gm"",""score"":""31.30%"",""sku"":""45142""}]"
67,ALOE EVA CREAM HAIR 85 GM,aloe eva 85000 mg cream hair,no_match,39.80%,Aloe Eva Hair cream with Aloe Vera 85 gm,102692,"[{""name"":""Aloe Eva Hair cream with Aloe Vera 85 gm"",""score"":""39.80%"",""sku"":""102692""}]"
68,ALOE EVA HAIR OIL 255ML,aloe eva hair oil 255 ml,review,75.40%,Aloe Eva Hair Oil with Aloe Vera 255 ml,141732,"[{""name"":""Aloe Eva Hair Oil with Aloe Vera 255 ml"",""score"":""75.40%"",""sku"":""141732""}]"
69,ALOE VERA GEL,aloe vera gel,review,56.20%,Raw African Aloe Vera Gel 150 ml,122451,"[{""name"":""Raw African Aloe Vera Gel 150 ml"",""score"":""56.20%"",""sku"":""122451""}]"
70,ALOEKITA ANTIDANDRUFF HAIR SHAMPOO 200ML,aloekita antidandruff hair shampoo 200 ml,review,82.30%,Aloekita Anti-Dandruff Shampoo 200 ml,22695,"[{""name"":""Aloekita Anti-Dandruff Shampoo 200 ml"",""score"":""82.30%"",""sku"":""22695""}]"
71,ALOEKITA DSDA H.SHAMPOO 250ML,aloekita dsda h.shampoo 250 ml,matched,97.90%,Aloekita DSDA Shampoo 250 ml,93015,"[{""name"":""Aloekita DSDA Shampoo 250 ml"",""score"":""97.90%"",""sku"":""93015""}]"
72,ALOEKITA HAIR CONDITIONER,aloekita hair conditioner,review,65.80%,Aloekita Hair Nourishing Conditioner 200 ml,24822,"[{""name"":""Aloekita Hair Nourishing Conditioner 200 ml"",""score"":""65.80%"",""sku"":""24822""}]"
73,ALOEKITA HAIR SHAMPOO 200ML,aloekita hair shampoo 200 ml,review,80.40%,Aloekita Caffeine Shampoo 200 ml,75988,"[{""name"":""Aloekita Caffeine Shampoo 200 ml"",""score"":""80.40%"",""sku"":""75988""}]"
74,ALOEKITA HAIR SPRAY 200ML,aloekita hair spray 200 ml,matched,88.70%,Aloekita Hair Growth Spray 200 ml,33831,"[{""name"":""Aloekita Hair Growth Spray 200 ml"",""score"":""88.70%"",""sku"":""33831""}]"
75,ALOPANTHEN HAIR LOTION 190ML,alopanthen hair lotion 190 ml,matched,100.00%,Alopanthen Hair Lotion 190 ml,137291,"[{""name"":""Alopanthen Hair Lotion 190 ml"",""score"":""100.00%"",""sku"":""137291""}]"
76,ALPHANOVA PLUS 5ML EYE DROPS,alphanova eye plus drops 5 ml,matched,100.00%,Alphanova Plus Eye Drops 5 ml,132308,"[{""name"":""Alphanova Plus Eye Drops 5 ml"",""score"":""100.00%"",""sku"":""132308""}]"
77,ALPHINTERN 30T.,alphintern 30 t.,review,77.30%,Alphintern 30 Tablets,124427,"[{""name"":""Alphintern 30 Tablets"",""score"":""77.30%"",""sku"":""124427""}]"
78,ALTIAZEM 60MG 40TAB,altiazem 60 mg 40 tab,matched,100.00%,Altiazem 60 mg 40 Tablets,131042,"[{""name"":""Altiazem 60 mg 40 Tablets"",""score"":""100.00%"",""sku"":""131042""}]"
79,ALVEOLIN-P 100ML SYP,alveolin p syrup 100 ml,matched,100.00%,Alveolin - P Syrup 100 ml,125966,"[{""name"":""Alveolin - P Syrup 100 ml"",""score"":""100.00%"",""sku"":""125966""}]"
80,ALVITAL 120ML SYP,alvital syrup 120 ml,matched,100.00%,Alvital Syrup 120 ml,34246,"[{""name"":""Alvital Syrup 120 ml"",""score"":""100.00%"",""sku"":""34246""}]"
81,ALWAYS BREATHABLE SENSITIVE 30 PADS,always breathable sensitive 30 pads,no_match,43.30%,Always Sensitive Maxi Long 28 Pads,115504,"[{""name"":""Always Sensitive Maxi Long 28 Pads"",""score"":""43.30%"",""sku"":""115504""}]"
82,ALWAYS COTTONY SOFT EXTRA LONG 7 PADS,always cottony extra soft long 7 pads,review,74.20%,Always Cotton Soft Maxi Thick & Extra Long 7 Pads,72320,"[{""name"":""Always Cotton Soft Maxi Thick & Extra Long 7 Pads"",""score"":""74.20%"",""sku"":""72320""}]"
83,ALWAYS MAXI LONG 16PADS OFFER,always offer maxi long 16 pads,review,68.90%,Always Protect Plus - Maxi Thick Long 16 Pads,136684,"[{""name"":""Always Protect Plus - Maxi Thick Long 16 Pads"",""score"":""68.90%"",""sku"":""136684""}]"
84,ALWAYS MAXI LONG 8 PAD,always 8 pad maxi long,review,75.00%,Always Protect Plus -Maxi Long 8 Pads,126657,"[{""name"":""Always Protect Plus -Maxi Long 8 Pads"",""score"":""75.00%"",""sku"":""126657""}]"
85,ALWAYS MAXI THICK,always maxi thick,review,52.00%,Always Protect Plus - Maxi Thick Long 16 Pads,136684,"[{""name"":""Always Protect Plus - Maxi Thick Long 16 Pads"",""score"":""52.00%"",""sku"":""136684""}]"
86,ALWAYS MAXI THICK 8 PADS,always maxi thick 8 pads,review,68.20%,Always Cotton Soft Maxi Thick & Long 8 Pads,104472,"[{""name"":""Always Cotton Soft Maxi Thick & Long 8 Pads"",""score"":""68.20%"",""sku"":""104472""}]"
87,ALWAYS MAXI THICK EXTRA LONG 18PADS,always extra maxi thick long 18 pads,review,60.80%,Always Sensitive Maxi Thick Extra Long 26 Pads,114938,"[{""name"":""Always Sensitive Maxi Thick Extra Long 26 Pads"",""score"":""60.80%"",""sku"":""114938""}]"
88,ALWAYS MAXI THICK EXTRA LONG 7 PADS,always extra maxi thick long 7 pads,review,83.60%,Always Protect Plus - Maxi Thick Extra Long 7 Pads,126655,"[{""name"":""Always Protect Plus - Maxi Thick Extra Long 7 Pads"",""score"":""83.60%"",""sku"":""126655""}]"
89,ALWAYS MAXI THICK LONG 18P,always 18 p maxi thick long,no_match,45.70%,Always Protect Plus - Maxi Thick Long 16 Pads,136684,"[{""name"":""Always Protect Plus - Maxi Thick Long 16 Pads"",""score"":""45.70%"",""sku"":""136684""}]"
90,ALWAYS SENSTVE LONG 8 PADS,always senstve long 8 pads,review,63.90%,Always Protect Plus -Maxi Long 8 Pads,126657,"[{""name"":""Always Protect Plus -Maxi Long 8 Pads"",""score"":""63.90%"",""sku"":""126657""}]"
91,ALWAYS ULTRA EXTRA LONG 14PCS,always extra 14 pcs ultra long,review,60.50%,Always Ultra Slim Protect Plus - Extra Long 14 Pads,136749,"[{""name"":""Always Ultra Slim Protect Plus - Extra Long 14 Pads"",""score"":""60.50%"",""sku"":""136749""}]"
92,ALWAYS ULTRA EXTRA LONG 7 PCS,always extra 7 pcs ultra long,review,61.00%,Always Ultra Slim Protect Plus - Extra Long 7 Pads,136746,"[{""name"":""Always Ultra Slim Protect Plus - Extra Long 7 Pads"",""score"":""61.00%"",""sku"":""136746""}]"
93,ALWAYS ULTRA LONG 16 PADS,always ultra long 16 pads,review,67.20%,Always Ultra Slim Protect Plus -Maxi Long 16 Pads,136751,"[{""name"":""Always Ultra Slim Protect Plus -Maxi Long 16 Pads"",""score"":""67.20%"",""sku"":""136751""}]"
94,ALWAYS ULTRA LONG 8PCS,always 8 pcs ultra long,review,55.70%,Always Ultra Slim Protect Plus -Maxi Long 8 Pads,136755,"[{""name"":""Always Ultra Slim Protect Plus -Maxi Long 8 Pads"",""score"":""55.70%"",""sku"":""136755""}]"
95,ALZENTAL 200MG  6 TAB,alzental 200 mg 6 tab,matched,100.00%,Alzental 200 mg 6 Tablets,126439,"[{""name"":""Alzental 200 mg 6 Tablets"",""score"":""100.00%"",""sku"":""126439""}]"
96,ALZENTAL 200MG 2TAB.,alzental 2 tab. 200 mg,review,67.80%,Alzental 200 mg 6 Tablets,126439,"[{""name"":""Alzental 200 mg 6 Tablets"",""score"":""67.80%"",""sku"":""126439""}]"
97,ALZIXA 10MG 30TAB,alzixa 10 mg 30 tab,matched,100.00%,Alzixa 10 mg 30 Tablets,120545,"[{""name"":""Alzixa 10 mg 30 Tablets"",""score"":""100.00%"",""sku"":""120545""}]"
98,ALZMENDA 10MG 21TAB,alzmenda 10 mg 21 tab,matched,100.00%,Alzmenda 10 mg 21 Tablets,128329,"[{""name"":""Alzmenda 10 mg 21 Tablets"",""score"":""100.00%"",""sku"":""128329""}]"
99,ALZMENDA 20MG 21 TAB,alzmenda 20 mg 21 tab,matched,100.00%,Alzmenda 20 mg 21 Tablets,133813,"[{""name"":""Alzmenda 20 mg 21 Tablets"",""score"":""100.00%"",""sku"":""133813""}]"
100,ALZMENDA 5MG 14TAB,alzmenda 5 mg 14 tab,matched,100.00%,Alzmenda 5 mg 14 Tablets,132126,"[{""name"":""Alzmenda 5 mg 14 Tablets"",""score"":""100.00%"",""sku"":""132126""}]"
